restaurant_id,name,location,rest_type,cuisines,rating,votes,cost,online_order,book_table,service_type,city
R1,Jalsa,banashankari,casual dining,"north indian, mughlai, chinese",4.1,775,800,1,1,Buffet,Banashankari
R2,Spice Elephant,banashankari,casual dining,"chinese, north indian, thai",4.1,787,800,1,0,Buffet,Banashankari
R3,San Churro Cafe,banashankari,"cafe, casual dining","cafe, mexican, italian",3.8,918,800,1,0,Buffet,Banashankari
R4,Addhuri Udupi Bhojana,banashankari,quick bites,"south indian, north indian",3.7,88,300,0,0,Buffet,Banashankari
R5,Grand Village,basavanagudi,casual dining,"north indian, rajasthani",3.8,166,600,0,0,Buffet,Banashankari
R6,Timepass Dinner,basavanagudi,casual dining,north indian,3.8,286,600,1,0,Buffet,Banashankari
R7,Rosewood International Hotel - Bar & Restaurant,mysore road,casual dining,"north indian, south indian, andhra, chinese",3.6,8,800,0,0,Buffet,Banashankari
R8,Onesta,banashankari,"casual dining, cafe","pizza, cafe, italian",4.6,2556,600,1,1,Cafes,Banashankari
R9,Penthouse Cafe,banashankari,cafe,"cafe, italian, continental",4.0,324,700,1,0,Cafes,Banashankari
R10,Smacznego,banashankari,cafe,"cafe, mexican, italian, momos, beverages",4.2,504,550,1,0,Cafes,Banashankari
R11,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,banashankari,cafe,cafe,4.1,402,500,1,0,Cafes,Banashankari
R12,Cafe Shuffle,banashankari,cafe,"cafe, italian, continental",4.2,150,600,1,1,Cafes,Banashankari
R13,The Coffee Shack,banashankari,cafe,"cafe, chinese, continental, italian",4.2,164,500,1,1,Cafes,Banashankari
R14,Caf-Eleven,banashankari,cafe,"cafe, continental",4.0,424,450,0,0,Cafes,Banashankari
R15,Cafe Vivacity,banashankari,cafe,cafe,3.8,90,650,1,0,Cafes,Banashankari
R16,Catch-up-ino,banashankari,cafe,"cafe, fast food, continental, chinese, momos",3.9,133,800,1,0,Cafes,Banashankari
R17,Kirthi's Biryani,banashankari,cafe,"chinese, cafe, italian",3.8,144,700,1,0,Cafes,Banashankari
R18,T3H Cafe,banashankari,cafe,"cafe, italian, american",3.9,93,300,0,0,Cafes,Banashankari
R19,360 Atoms Restaurant And Cafe,banashankari,cafe,"cafe, chinese, continental, italian",3.1,13,400,1,0,Cafes,Banashankari
R20,The Vintage Cafe,banashankari,cafe,"cafe, french, north indian",3.0,62,400,1,0,Cafes,Banashankari
R21,Woodee Pizza,banashankari,cafe,"cafe, pizza, fast food, beverages",3.7,180,500,1,0,Cafes,Banashankari
R22,Cafe Coffee Day,banashankari,cafe,"cafe, fast food",3.6,28,900,0,0,Cafes,Banashankari
R23,My Tea House,banashankari,"quick bites, cafe","italian, fast food, cafe, european",3.6,62,600,1,0,Cafes,Banashankari
R24,Hide Out Cafe,banashankari,cafe,cafe,3.7,31,300,0,0,Cafes,Banashankari
R25,CAFE NOVA,banashankari,cafe,"cafe, bakery",3.2,11,600,0,0,Cafes,Banashankari
R26,Coffee Tindi,banashankari,"cafe, quick bites","cafe, south indian",3.8,75,200,1,0,Cafes,Banashankari
R27,Sea Green Cafe,banashankari,cafe,"cafe, fast food, beverages",3.3,4,500,0,0,Cafes,Banashankari
R28,Cuppa,banashankari,cafe,"cafe, fast food",3.3,23,550,0,0,Cafes,Banashankari
R29,Srinathji's Cafe,basavanagudi,"casual dining, cafe","north indian, cafe, chinese, fast food",3.8,148,550,0,0,Cafes,Banashankari
R30,Redberrys,basavanagudi,cafe,"cafe, italian",4.0,219,600,1,0,Cafes,Banashankari
R31,Foodiction,banashankari,quick bites,"north indian, fast food, chinese, burger",2.8,506,500,1,0,Delivery,Banashankari
R32,Sweet Truth,banashankari,delivery,"bakery, desserts",3.9,35,500,1,0,Delivery,Banashankari
R33,Ovenstory Pizza,banashankari,delivery,pizza,3.9,172,750,1,0,Delivery,Banashankari
R34,Faasos,banashankari,quick bites,"north indian, biryani, fast food",4.2,415,500,1,0,Delivery,Banashankari
R35,Behrouz Biryani,banashankari,delivery,biryani,3.9,230,650,1,0,Delivery,Banashankari
R36,Fast And Fresh,banashankari,quick bites,"north indian, chinese, fast food",2.8,91,400,1,0,Delivery,Banashankari
R37,Szechuan Dragon,banashankari,casual dining,"chinese, thai, momos",4.2,1647,600,1,0,Delivery,Banashankari
R38,Empire Restaurant,jayanagar,casual dining,"north indian, mughlai, south indian, chinese",4.4,4884,750,1,0,Delivery,Banashankari
R39,Maruthi Davangere Benne Dosa,banashankari,quick bites,south indian,4.0,17,150,1,0,Delivery,Banashankari
R40,Chaatimes,basavanagudi,quick bites,"street food, fast food",3.8,133,200,1,0,Delivery,Banashankari
R41,Havyaka Mess,banashankari,mess,south indian,3.9,28,300,0,0,Delivery,Banashankari
R42,McDonald's,banashankari,quick bites,"burger, fast food",3.9,286,500,1,0,Delivery,Banashankari
R43,Domino's Pizza,banashankari,quick bites,"pizza, fast food",3.9,540,800,1,0,Delivery,Banashankari
